epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,7837.02,1.1572,0.52466,0.0024,0.90509,0.83927,0.90088,0.63112,0.84756,0.59245,0.00223,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,7919.42,1.14122,0.5192,0.00239,0.90792,0.83915,0.90149,0.6317,0.84759,0.5942,0.00223,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,8001.13,1.14171,0.51316,0.00242,0.9113,0.8408,0.90287,0.63301,0.84681,0.59039,0.00223,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8083.14,1.15638,0.52032,0.00241,0.9175,0.83493,0.90192,0.632,0.84535,0.59587,0.00221,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,8165.12,1.13919,0.51081,0.00239,0.91227,0.83753,0.90132,0.63219,0.84365,0.59198,0.0022,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8246.93,1.13567,0.50931,0.00237,0.91273,0.84023,0.9029,0.63286,0.84201,0.59498,0.0022,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8328.78,1.13943,0.51445,0.00236,0.91158,0.83988,0.9032,0.63275,0.84366,0.59885,0.0022,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8410.15,1.13803,0.52669,0.00237,0.90871,0.84118,0.90272,0.63316,0.84324,0.59522,0.0022,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,8491.76,1.14883,0.5164,0.0024,0.90919,0.8409,0.90331,0.63368,0.8427,0.59278,0.0022,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,8573.29,1.14315,0.50734,0.0024,0.90614,0.84349,0.90312,0.63415,0.8429,0.589,0.0022,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,8655.26,1.12725,0.5074,0.00239,0.90581,0.84275,0.90243,0.63431,0.84201,0.58959,0.0022,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,8736.9,1.13818,0.50322,0.00234,0.90585,0.84289,0.90315,0.63451,0.84197,0.58712,0.0022,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,8818.85,1.12554,0.50443,0.00231,0.90009,0.84267,0.90296,0.63498,0.84099,0.58885,0.0022,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,8900.82,1.13319,0.51088,0.00238,0.90394,0.84211,0.90273,0.63484,0.84038,0.58687,0.0022,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,8982.37,1.12886,0.50536,0.00236,0.9042,0.84305,0.90231,0.63493,0.84023,0.58202,0.0022,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,9064.15,1.12034,0.49555,0.00235,0.90608,0.84176,0.90235,0.63442,0.83947,0.58324,0.0022,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9147.63,1.12139,0.4928,0.00241,0.9076,0.84138,0.90238,0.63452,0.83811,0.58878,0.00219,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9229.54,1.12053,0.49981,0.00234,0.90796,0.83976,0.90184,0.63444,0.83824,0.58394,0.00219,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9311.65,1.12634,0.50712,0.00232,0.9108,0.83833,0.90201,0.63419,0.83838,0.58596,0.00218,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,9393.37,1.12157,0.5033,0.00232,0.91161,0.83935,0.9023,0.63538,0.8372,0.58257,0.00218,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,9475.47,1.11371,0.49532,0.00235,0.91389,0.83814,0.90209,0.63498,0.83689,0.5829,0.00218,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,9557.54,1.12206,0.50104,0.00235,0.91069,0.83902,0.90176,0.63503,0.83689,0.58255,0.00218,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,9639.07,1.122,0.49355,0.00232,0.90835,0.83957,0.9015,0.63501,0.83728,0.58185,0.00218,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,9720.58,1.13131,0.50525,0.00234,0.90949,0.84001,0.90168,0.63509,0.83726,0.58136,0.00218,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,9802.35,1.11972,0.4905,0.00235,0.91207,0.8383,0.90171,0.6354,0.83722,0.58186,0.00219,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,9884.32,1.1184,0.49617,0.00231,0.91027,0.83974,0.90181,0.63539,0.83686,0.5818,0.00219,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,9965.81,1.11323,0.49476,0.00236,0.91366,0.83892,0.90166,0.6355,0.83667,0.58134,0.00219,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,10047.2,1.10703,0.48467,0.00233,0.9154,0.84046,0.90268,0.63526,0.83635,0.58063,0.00218,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,10127.4,1.12752,0.49166,0.00234,0.91449,0.83954,0.90235,0.63518,0.83595,0.58168,0.00218,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,10208.7,1.11379,0.49902,0.00233,0.91276,0.8411,0.9028,0.63542,0.83569,0.57861,0.00218,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10290.7,1.10678,0.49308,0.0023,0.91488,0.84002,0.90289,0.6352,0.83565,0.57923,0.00218,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,10371.7,1.11098,0.49464,0.0023,0.9154,0.83999,0.90304,0.63506,0.83582,0.5803,0.00218,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
